"game","airdate"
"336","2005-02-02"
"337","2000-05-15"
"338","2006-10-20"
"339","2000-05-16"
"340","2000-05-17"
"341","2000-05-18"
"342","2000-05-19"
"343","1999-02-26"
"344","2006-10-23"
"345","2006-10-24"
"346","1983-09-18"
"347","1991-02-04"
"348","2006-10-25"
"349","2000-05-22"
"350","2000-05-23"
"351","2000-05-24"
"352","2000-05-26"
"353","2000-05-30"
"354","2000-05-25"
"355","1984-01-01"
"356","2006-10-26"
"357","2006-10-27"
"358","1991-02-20"
"359","2006-10-30"
"360","2006-10-31"
"361","2006-11-01"
"362","1997-03-12"
"363","1997-03-13"
"364","1997-03-14"
"365","1997-03-17"
"366","1997-03-18"
"367","1997-03-19"
"368","1997-03-20"
"369","2005-02-03"
"370","1997-03-21"
"371","1997-03-24"
"372","1997-03-25"
"373","1997-03-26"
"374","2006-11-02"
"375","1987-04-21"
"376","1987-04-22"
"377","1987-04-23"
"378","1987-04-24"
"379","1987-04-27"
"380","1992-11-12"
"381","2006-11-03"
"382","2003-01-07"
"383","1988-01-11"
"384","1988-01-12"
"385","1988-01-13"
"386","1988-01-14"
"387","1988-01-15"
"388","1990-06-16"
"389","1990-06-30"
"390","1990-07-28"
"391","2005-02-04"
"392","2006-11-06"
"393","2006-11-07"
"394","2003-05-05"
"395","2003-05-06"
"396","2003-05-07"
"397","2003-05-08"
"398","2003-05-09"
"399","2003-05-12"
"400","2003-05-13"
"401","2003-05-14"
"402","1989-09-12"
"403","2003-05-15"
"404","2003-05-16"
"405","1992-10-26"
"406","2006-11-08"
"407","2006-11-09"
"408","2006-11-10"
"409","1997-03-27"
"410","1997-03-28"
"411","1997-03-31"
"412","1997-04-02"
"413","2000-10-30"
"414","1997-04-03"
"415","1997-04-04"
"416","1997-04-07"
"417","1997-04-08"
"418","1997-04-09"
"419","1997-04-10"
"420","1997-04-11"
"421","1997-04-14"
"422","2006-11-13"
"423","2006-11-14"
"424","2000-10-31"
"425","2006-11-15"
"426","2006-11-16"
"427","2006-11-17"
"428","2006-11-20"
"429","2006-11-21"
"435","2005-02-07"
"436","2006-11-22"
"437","2006-11-23"
"438","2006-11-24"
"439","1997-04-16"
"440","1997-04-17"
"441","1997-04-18"
"442","1997-04-21"
"443","1997-04-22"
"444","1997-04-23"
"445","1997-04-24"
"446","2004-09-23"
"447","2000-11-01"
"448","1997-04-25"
"449","1997-05-05"
"450","1997-05-06"
"451","1997-05-07"
"452","2006-11-27"
"453","2006-11-28"
"454","2006-11-29"
"455","2006-11-30"
"456","1993-11-15"
"457","2006-12-01"
"458","2005-02-08"
"459","1993-11-16"
"460","1993-11-17"
"469","2005-02-09"
"472","1993-11-18"
"473","1993-11-19"
"474","2006-12-04"
"475","2006-12-05"
"476","1993-11-22"
"477","1993-11-23"
"478","1993-11-24"
"479","1993-11-25"
"480","1997-09-19"
"481","1993-11-26"
"482","2006-12-06"
"483","2006-12-07"
"484","2006-12-08"
"490","1994-11-24"
"491","2005-02-10"
"492","1994-11-25"
"493","2002-02-25"
"494","2002-02-26"
"498","2006-12-11"
"499","2006-12-12"
"500","2006-12-13"
"502","2000-11-02"
"503","2002-03-05"
"504","2002-03-06"
"505","2002-03-07"
"506","2002-03-08"
"507","2006-12-14"
"508","2006-12-15"
"509","2002-06-03"
"510","2002-06-04"
"511","2002-06-05"
"512","2002-06-06"
"513","2005-02-11"
"514","2002-06-07"
"515","1997-05-12"
"516","1997-05-13"
"517","2006-12-18"
"518","2002-06-10"
"519","2002-06-11"
"520","2002-06-12"
"521","2002-06-13"
"522","2002-06-14"
"523","2006-12-19"
"524","2000-11-03"
"525","1997-05-14"
"527","1997-05-16"
"528","1997-05-19"
"529","1997-05-20"
"530","1997-05-21"
"531","1997-05-22"
"532","1997-05-23"
"533","2006-12-20"
"534","2006-12-21"
"535","1993-11-29"
"536","2006-12-22"
"537","1991-04-08"
"538","1991-04-09"
"539","2006-12-25"
"540","2001-03-30"
"541","2001-04-02"
"542","2001-04-03"
"543","2001-04-04"
"544","2001-04-05"
"545","2001-04-06"
"546","2005-02-14"
"547","2001-04-09"
"548","2001-04-11"
"549","2001-04-12"
"550","2001-04-13"
"551","2001-04-16"
"552","2006-12-26"
"553","2006-12-27"
"554","2006-12-28"
"555","2006-12-29"
"556","2001-03-28"
"557","2004-09-24"
"558","1993-11-30"
"559","2001-03-29"
"560","2007-01-01"
"561","2007-01-02"
"562","2001-03-08"
"563","2001-03-09"
"564","2001-03-13"
"565","2001-03-14"
"566","2001-03-15"
"567","2001-03-16"
"568","2001-03-19"
"569","2005-02-15"
"570","2001-03-20"
"571","2001-03-21"
"572","2001-03-22"
"573","2001-03-23"
"574","2001-03-26"
"575","2001-03-27"
"576","2007-01-03"
"577","2004-06-03"
"578","2007-01-04"
"579","2002-09-02"
"580","1993-12-01"
"581","2001-04-17"
"582","2001-04-18"
"583","2001-04-19"
"584","2001-04-20"
"585","2001-04-23"
"586","2001-04-24"
